Designator,Mid X,Mid Y,Layer,Rotation
D1,30.956300,-52.387500,Bottom,-90.000000
D2,30.956300,-71.437500,Bottom,-90.000000
D3,30.956300,-90.487500,Bottom,-90.000000
D4,30.956300,-109.537500,Bottom,-90.000000
D5,30.956300,-128.587500,Bottom,-90.000000
D6,64.293800,-52.387500,Bottom,-90.000000
D7,69.056300,-71.437500,Bottom,-90.000000
D8,71.437600,-90.487500,Bottom,-90.000000
D9,64.293800,-109.537500,Bottom,-90.000000
D10,66.675100,-128.587500,Bottom,-90.000000
D11,83.343800,-52.387500,Bottom,-90.000000
D12,92.868800,-71.437500,Bottom,-90.000000
D13,97.631300,-90.487500,Bottom,-90.000000
D14,102.393800,-109.537500,Bottom,-90.000000
D15,90.487600,-128.587500,Bottom,-90.000000
D16,102.393800,-52.387500,Bottom,-90.000000
D17,111.918800,-71.437500,Bottom,-90.000000
D18,116.681300,-90.487500,Bottom,-90.000000
D19,121.443800,-109.537500,Bottom,-90.000000
D20,114.300100,-128.587500,Bottom,-90.000000
D21,121.443800,-52.387500,Bottom,-90.000000
D22,130.968800,-71.437500,Bottom,-90.000000
D23,135.731300,-90.487500,Bottom,-90.000000
D24,140.493800,-109.537500,Bottom,-90.000000
D25,138.112600,-128.587500,Bottom,-90.000000
D26,140.493800,-52.387500,Bottom,-90.000000
D27,150.018800,-71.437500,Bottom,-90.000000
D28,154.781300,-90.487500,Bottom,-90.000000
D29,159.543800,-109.537500,Bottom,-90.000000
D30,161.925100,-128.587500,Bottom,-90.000000
D31,159.543800,-52.387500,Bottom,-90.000000
D32,169.068800,-71.437500,Bottom,-90.000000
D33,173.831300,-90.487500,Bottom,-90.000000
D34,178.593800,-109.537500,Bottom,-90.000000
D35,178.593800,-52.387500,Bottom,-90.000000
D36,188.118800,-71.437500,Bottom,-90.000000
D37,192.881300,-90.487500,Bottom,-90.000000
D38,197.643800,-109.537500,Bottom,-90.000000
D39,202.406300,-128.587500,Bottom,-90.000000
