Designator,Mid X,Mid Y,Layer,Rotation
D51,30.956300,-52.387500,Bottom,-90.000000
D52,40.481300,-71.437500,Bottom,-90.000000
D53,45.243800,-90.487500,Bottom,-90.000000
D54,50.006300,-109.537500,Bottom,-90.000000
D55,35.718800,-128.587500,Bottom,-90.000000
D56,50.006300,-52.387500,Bottom,-90.000000
D57,59.531300,-71.437500,Bottom,-90.000000
D58,64.293800,-90.487500,Bottom,-90.000000
D59,69.056300,-109.537500,Bottom,-90.000000
D60,59.531300,-128.587500,Bottom,-90.000000
D61,69.056300,-52.387500,Bottom,-90.000000
D62,78.581300,-71.437500,Bottom,-90.000000
D63,83.343800,-90.487500,Bottom,-90.000000
D64,88.106300,-109.537500,Bottom,-90.000000
D65,90.487600,-128.587500,Bottom,-90.000000
D66,88.106300,-52.387500,Bottom,-90.000000
D67,97.631300,-71.437500,Bottom,-90.000000
D68,102.393800,-90.487500,Bottom,-90.000000
D69,107.156300,-109.537500,Bottom,-90.000000
D70,119.062600,-128.587500,Bottom,-90.000000
D71,107.156300,-52.387500,Bottom,-90.000000
D72,116.681300,-71.437500,Bottom,-90.000000
D73,121.443800,-90.487500,Bottom,-90.000000
D74,126.206300,-109.537500,Bottom,-90.000000
D75,126.206300,-52.387500,Bottom,-90.000000
D76,135.731300,-71.437500,Bottom,-90.000000
D77,140.493800,-90.487500,Bottom,-90.000000
D78,145.256300,-109.537500,Bottom,-90.000000
D79,142.875100,-128.587500,Bottom,-90.000000
D80,145.256300,-52.387500,Bottom,-90.000000
D81,154.781300,-71.437500,Bottom,-90.000000
D82,159.543800,-90.487500,Bottom,-90.000000
D83,164.306300,-109.537500,Bottom,-90.000000
D84,164.306300,-128.587500,Bottom,-90.000000
D85,164.306300,-52.387500,Bottom,-90.000000
D86,173.831300,-71.437500,Bottom,-90.000000
D87,180.975100,-90.487500,Bottom,-90.000000
D88,183.356300,-109.537500,Bottom,-90.000000
D89,183.356300,-128.587500,Bottom,-90.000000
D90,183.356300,-52.387500,Bottom,-90.000000
D91,197.643800,-71.437500,Bottom,-90.000000
D92,202.406300,-109.537500,Bottom,-90.000000
D93,202.406300,-128.124500,Bottom,-90.000000
