Designator,Mid X,Mid Y,Layer,Rotation
D1,47.625000,-61.912500,Bottom,-90.000000
D2,45.243800,-97.631200,Bottom,-90.000000
D3,66.675000,-61.912500,Bottom,-90.000000
D4,64.293800,-97.631200,Bottom,-90.000000
D5,85.725000,-61.912500,Bottom,-90.000000
D6,83.343800,-97.631200,Bottom,-90.000000
D7,104.775000,-61.912500,Bottom,-90.000000
D8,102.393800,-97.284900,Bottom,-90.000000
D9,123.825000,-61.912500,Bottom,-90.000000
D10,121.443800,-97.631200,Bottom,-90.000000
LED1,130.968800,-85.725100,Bottom,0.000000
LED2,111.918800,-85.725100,Bottom,0.000000
LED3,92.868800,-85.725000,Bottom,0.000000
LED4,73.818800,-85.725000,Bottom,0.000000
LED5,54.768800,-85.725000,Bottom,0.000000
