Designator,Mid X,Mid Y,Layer,Rotation
J2,173.831250,-41.671875,Bottom,90.000000
J3,233.957645,-201.215530,Bottom,90.000000
J4,242.887500,-184.546875,Bottom,180.000000
J7,164.159380,-159.543750,Bottom,90.000000
J8,157.162500,-83.343750,Bottom,90.000000
J12,221.456250,-133.350000,Bottom,0.000000
J13,190.500000,-66.675000,Bottom,180.000000
D1,26.193750,-26.193700,Bottom,-90.000000
D2,30.956250,-45.243700,Bottom,-90.000000
D3,33.337550,-64.293700,Bottom,-90.000000
D4,26.193750,-83.343700,Bottom,-90.000000
D5,28.575050,-102.393700,Bottom,-90.000000
D6,45.243750,-26.193700,Bottom,-90.000000
D7,54.768750,-45.243700,Bottom,-90.000000
D8,59.531250,-64.293700,Bottom,-90.000000
D9,64.293750,-83.343700,Bottom,-90.000000
D10,52.387550,-102.393700,Bottom,-90.000000
D11,64.293750,-26.193700,Bottom,-90.000000
D12,73.818750,-45.243700,Bottom,-90.000000
D13,78.581250,-64.293750,Bottom,-90.000000
D14,83.343750,-83.343700,Bottom,-90.000000
D15,76.200050,-102.393700,Bottom,-90.000000
D16,83.343750,-26.193700,Bottom,-90.000000
D17,92.868750,-45.243700,Bottom,-90.000000
D18,97.631250,-64.293700,Bottom,-90.000000
D19,102.393750,-83.343700,Bottom,-90.000000
D20,100.012550,-102.393700,Bottom,-90.000000
D21,102.393750,-26.193700,Bottom,-90.000000
D22,111.918750,-45.243700,Bottom,-90.000000
D23,116.681250,-64.293700,Bottom,-90.000000
D24,121.443750,-83.343700,Bottom,-90.000000
D25,123.825050,-102.393700,Bottom,-90.000000
D26,121.443750,-26.193700,Bottom,-90.000000
D27,130.968750,-45.243700,Bottom,-90.000000
D28,135.731250,-64.293700,Bottom,-90.000000
D29,140.493750,-83.343700,Bottom,-90.000000
D30,164.306250,-102.393750,Bottom,-90.000000
D51,192.881250,-216.693800,Bottom,90.000000
D52,183.356250,-197.643800,Bottom,90.000000
D53,214.312450,-138.112500,Bottom,90.000000
D54,178.593750,-178.593800,Bottom,90.000000
D55,190.499950,-138.112500,Bottom,90.000000
D56,173.831250,-216.693800,Bottom,90.000000
D57,164.306250,-197.643800,Bottom,90.000000
D58,173.831250,-159.543800,Bottom,90.000000
D59,154.781250,-159.543800,Bottom,90.000000
D60,164.306250,-140.493750,Bottom,90.000000
D61,154.781250,-216.693800,Bottom,90.000000
D62,145.256250,-197.643800,Bottom,90.000000
D63,159.543750,-178.593800,Bottom,90.000000
D64,135.731250,-159.543800,Bottom,90.000000
D65,138.112500,-140.493800,Bottom,90.000000
D66,135.731250,-216.693800,Bottom,90.000000
D67,126.206250,-197.643800,Bottom,90.000000
D68,140.493750,-178.593800,Bottom,90.000000
D69,116.681250,-159.543800,Bottom,90.000000
D70,116.681250,-140.493800,Bottom,90.000000
D71,116.681250,-216.693800,Bottom,90.000000
D72,107.156250,-197.643800,Bottom,90.000000
D73,121.443750,-178.593800,Bottom,90.000000
D74,97.631250,-159.543800,Bottom,90.000000
D75,97.631250,-140.493800,Bottom,90.000000
D76,97.631250,-216.743800,Bottom,90.000000
D77,88.106250,-197.643800,Bottom,90.000000
D78,102.393750,-178.593800,Bottom,90.000000
D79,78.581250,-159.543800,Bottom,90.000000
D80,78.581250,-140.493800,Bottom,90.000000
D81,78.581250,-216.693800,Bottom,90.000000
D82,69.056250,-197.643800,Bottom,90.000000
D83,83.343750,-178.593800,Bottom,90.000000
D84,59.531250,-159.543800,Bottom,90.000000
D85,59.531250,-140.493800,Bottom,90.000000
D86,59.531250,-216.693800,Bottom,90.000000
D87,45.243750,-197.643800,Bottom,90.000000
D88,61.912450,-178.593800,Bottom,90.000000
D89,40.481250,-159.543800,Bottom,90.000000
D90,40.481250,-140.493800,Bottom,90.000000
