Designator,Mid X,Mid Y,Layer,Rotation
C1,128.587500,-69.056250,bottom,-90.000000
C2,121.443750,-69.056250,bottom,90.000000
C3,119.062500,-69.056250,bottom,90.000000
C4,116.681250,-69.056250,bottom,90.000000
J2,116.681250,-40.481250,bottom,180.000000
J4,85.725000,-98.012500,bottom,-90.000000
J8,85.725000,-79.771875,bottom,90.000000
J9,102.393750,-79.771875,bottom,-90.000000
J15,124.420208,-54.471048,bottom,0.000000
R1,82.518750,-92.571016,bottom,0.000000
R2,82.518750,-91.082736,bottom,0.000000
R3,126.206250,-69.056250,bottom,90.000000
R4,111.323531,-77.986003,bottom,-90.000000
R5,130.968860,-71.437560,bottom,-90.000000
U2,113.109470,-70.842247,bottom,90.000000
D41,95.250000,-111.918750,bottom,-90.000000
