Designator,Mid X,Mid Y,Layer,Rotation
C201,113.109606,-78.581470,bottom,0.000000
C202,127.397012,-67.865714,bottom,90.000000
C203,113.109606,-75.009528,bottom,0.000000
C204,120.253262,-67.865714,bottom,90.000000
C205,121.443887,-90.487589,bottom,90.000000
C206,123.825137,-67.865714,bottom,90.000000
C207,127.397012,-86.915714,bottom,90.000000
C208,125.015762,-90.487589,bottom,90.000000
C209,130.968887,-67.865714,bottom,90.000000
J1,117.871808,-38.695375,bottom,180.000000
J2,86.915558,-77.986000,bottom,90.000000
J3,86.915558,-96.226625,bottom,-90.000000
J4,118.169366,-52.089861,bottom,0.000000
J5,87.070385,-113.768844,bottom,0.000000
J101,163.774933,-55.114049,bottom,-90.000000
J102,149.037624,-40.307849,bottom,90.000000
J103,167.878266,-70.842247,bottom,90.000000
J104,171.152200,-96.162721,bottom,-90.000000
J201,113.704919,-65.243894,bottom,180.000000
R1,83.709308,-90.785141,bottom,0.000000
R2,83.709308,-89.296861,bottom,0.000000
R201,136.326813,-75.009464,bottom,90.000000
D25,82.153058,-110.132875,bottom,-90.000000
D31,96.440558,-110.132875,bottom,-90.000000
D53,120.253058,-110.739125,bottom,-90.000000
D55,144.065558,-110.739125,bottom,-90.000000
