Designator,Mid X,Mid Y,Layer,Rotation
J1,90.189767,-64.293750,bottom,-90.000000
J2,87.684446,-49.346918,bottom,180.000000
J3,140.243750,-68.396875,bottom,180.000000
J4,120.550680,-49.170272,bottom,180.000000
R1,96.142888,-88.999144,bottom,0.000000
R2,96.142888,-87.213208,bottom,0.000000
D1,108.346966,-33.932841,bottom,-90.000000
D2,108.346966,-52.982857,bottom,-90.000000
D3,108.346966,-72.032873,bottom,-90.000000
D4,108.346966,-91.082889,bottom,-90.000000
D5,85.129759,-105.965625,bottom,-90.000000
D6,127.396982,-33.932841,bottom,-90.000000
D7,127.396875,-52.982857,bottom,-90.000000
D8,127.396982,-72.032873,bottom,-90.000000
D9,127.396875,-91.082889,bottom,-90.000000
D10,125.015625,-103.584375,bottom,-90.000000
D11,146.446998,-33.932841,bottom,-90.000000
D12,146.446998,-52.982857,bottom,-90.000000
D13,146.446998,-72.032873,bottom,-90.000000
D14,146.446998,-91.082889,bottom,-90.000000
D15,165.497014,-33.932841,bottom,-90.000000
D16,165.497014,-61.317239,bottom,-90.000000
D17,165.497014,-100.607897,bottom,-90.000000
D18,146.446998,-110.132905,bottom,-90.000000
